word1 word2
awwww poor
SO sorry
keep falling
nose hurts
hard disk
In desperate
soo cold
imma cry
hell happened
almost killed
most horrible
sad faces
slightly depressed
biggest fear
alarm goes
reportedly gravely
Metro crash
crazy busy
bad hayfever
hate driving
stir crazy
character limit
felt guilty
stuck doing
stupid phone
worlds worst
hate finals
real shame
trouble uploading
heart hurt
've fallen
celtics lost
hate leaving
sad song
lost interest
matters worse
most painful
june gloom
France tragedy
del mar
painfully slow
fat kid
painfully slow
wanna die
sorry bb
Sun burn
bumble bee
stress related
bad person
kinda upset
silly girl
suffer through
phones dead
He died
headaches suck
headaches suck
missed ya
stupid weather
completely dead
Nuggets lost
stupid internet
goes wrong
SO bored
bad shape
stomach pain
loud music
thats bad
nasty headache
broken glass
strongly dislike
sour cream
Car broke
sharp pain
cabin fever
nasty headache
horrible mood
fawcett died
hate moving
soooo cold
stinking cold
....i hate
hating life
shall miss
hate hayfever
sore neck
killed himself
bein sick
horrible weather
Too lazy
kidney failure
distinct lack
pretty tired
dead bird
bomb ass
lame lame
plans fell
died RIP
everyone hates
hairline fracture
fucking shit
lame lame
protein shake
missed seeing
hate allergies
hates having
worst nights
hate insomnia
How embarrassing
fucking hurts
sooo hard
miss youuuuu
miss yall
unknown error
worst enemy
worst enemy
fatal error
unknown error
hate headaches
fatal error
sooo badly
lose followers
odd reason
hate Sundays
add insult
soooooo bad
Still tired
dead deer
server error
soooo sore
sharp pains
dark outside
freaking cold
severe weather
freaking cold
broken link
sinking feeling
broken bones
kinda hard
dead baby
Oh damn
missed calls
sucked ass
Insomnia sucks
pain pills
hour delay
Its cold
body ache
hard drives
miss playing
funny noises
tummy bug
soooooooo bored
camera broke
kinda scared
gunna fail
freakin tired
poor animals
miss LA
bad cramps
sounds terrible
error messages
cigarette smoke
totally jealous
gonna explode
plane crashes
suck sometimes
API limit
eating disorder
desperately want
mine broke
Really disappointed
pretty awful
hurts soooo
aunt died
scariest dream
sucks majorly
bloody nose
gunna cry
gravely ill
computer froze
hands hurt
worst hangover
horrible news
kinda depressed
total loss
wrong direction
epic failure
bladder infection
ridiculously hot
sorry *hugs
miss living
finally died
Having problems
pretty scary
batteries died
everything hurts
looks awful
totally suck
tummy pains
pretty sick
tragic news
feels sad
sick Feeling
SO hard
break ups
black cloud
lost track
buyers remorse
gonna lose
fake tan
bday bash
frozen yoghurt
ipod died
super lame
absolutely awful
awww sorry
sorry girl
soooo sick
fall asleep!
Ear infections
soo badly
Throat hurts
Ah crap
allergy meds
humid weather
swollen shut
soo sorry
Spring break
totally ruined
headache Has
quite depressing
hate revision
Im afraid
wrong size
Very disappointing
allergy season
sooo mad
wack ass
worst migraine
lucky bitch
neck hurt
soooo jealous
nervous breakdown
terrible dream
nervous breakdown
Still stuck
allergies suck
allergies suck
Mondays suck
keeps breaking
funny bone
hate spiders
anxiety attacks
anxiety attacks
blood blister
bad hangover
...how sad
pearl jam
crazy ass
horrible feeling
Fucking hell
Blah blah
huge bruise
train crash
near impossible
breaking news
stupid headache
complete waste
kinda lame
missed Conan
exams suck
poor rob
split second
cold water
question wrong
hate saying
kinda hurts
unknown reason
serious pain
crap crap
quite upset
Even worse
keep crashing
worst mood
complete idiot
sooo annoying
.so sad
crap crap
headache coming
completely missed
sinus headaches
Really sorry
computer died
dark room
fall asleep....
cloud cover
kinda tired
gna miss
sad bc
Which sucks
Feeling guilty
deathly afraid
water damage
most awful
raining hard
electric shock
hella tired
flight delay
Feeling lonely
pretty lonely
sooooooo tired
fucking cold
loud thunder
almost fell
stupid allergies
Pens lost
pretty disappointing
screen cracked
wrong place
slow motion
hate maths
It smells
Sunburn hurts
broken toe
hate history
self pity
Im jealous
horrible nightmare
picky eater
lost power
horrible nightmare
heat exhaustion
Worst headache
Something wrong
seriously hate
weird mood
sucked balls
cold sore
happy belated
may die
worst cramps
sucked balls
leg cramp
soooo sorry
kinda worried
sucks bigtime
They hurt
gonna hurt
Chest pains
flulike symptoms
soooooo sad
camera died
Still sad
cracked screen
...it sucks
Soo sad
canker sore
kill bill
Somethings wrong
stressful week
anything wrong
brain dead
hella sick
Im worried
should hang
Twitter hates
sooo upset
extremely difficult
awful dream
H1N1 virus
keep biting
rough draft
Really bored
dead squirrel
worst timing
fat lip
scary dreams
times worse
gall bladder
respiratory infection
hard decision
allergy medicine
kinda sucked
kept crashing
stop falling
pretty bored
miss mine
delayed due
word limit
How disappointing
keeps falling
vicious cycle
physically sick
soooo badly
miserable weather
bee sting
zombie mode
stupid o'clock
Major headache
sounds horrible
REALLY bad
sad songs
cloudy outside
i miss
completely lost
super boring
sooooo slow
gunna suck
Knee hurts
eyes sting
keep dying
hamster died
extremely slow
hate flying
hate studying
flu bug
pretty slow
lip hurts
thumping headache
Fuck fuck
fuckin tired
hate funerals
lost everything
sorely disappointed
burn hurts
grandfather died
mad early
burn hurts
sorely disappointed
swollen ankle
rough week
Very annoying
hurts alot
sooo sore
Aw crap
abdominal pain
Im mad
Feels bad
hella bored
ribs hurt
Very frustrating
acting funny
douche bags
side hurts
muscles hurt
ridiculous amount
sorry baby
my poor
laptop crashed
Getting sick
Rain delay
It breaks
fail fail
garbage disposal
sad cos
scrambled egg
Everything hurts
missed half
completely drained
Huge headache
quite terribly
sucks donkey
hurts Ouch
hates us
road rage
fail fail
10x worse
soo sore
dead kitty
strange noises
strange noises
mar fair
lungs hurt
hurts real
Today sucks
ruined everything
induced headache
pretty lame
Weather sucks
technical issues
rip farrah
hard reset
quite disappointed
eyes burn
painful sunburn
tastes funny
respitory infection
eyes itch
bloody hot
looks horrible
hate thunderstorms
gas tank
This headache
tragic loss
tragic loss
Rate limit
fucking hot
Bad headache
bad week
follow limit
death bed
voter apathy
rollercoaster tycoon
started bleeding
surely miss
open wound
damn bored
sore stomach
Totally bored
totally messed
Feels sick
sore eyes
aw poor
cannot fall
Nothing worse
started hurting
weird dream
telephone pole
feels terrible
might miss
stop biting
worst stomach
sunglasses broke
popcorn myth
water leak
cold turkey
Technical difficulties
such bad
hate fighting
greatly missed
economy sucks
headache headache
gets sick
frying pan
yawn yawn
France disaster
easter break
quite boring
fishy died
How tragic
losing battle
shocking news
seems impossible
sinus infections
officially sick
headache headache
shit happens
weep weep.
animal abuse
yawn yawn
body aching
sorry buddy
dont cry
gonna fall
grandma died
bad taste
drunk driver
might explode
absolutely horrible
swollen eye
Bored bored
bad experience
stupid paper
Celtics lost
bloody valentine
've neglected
totally screwed
officially broke
hung himself
quite sick
...gonna miss
fell thru
You missed
milk shake
nadal lost
miss chris
...that sucks
guna miss
absolute worst
bored shitless
myth busted
trouble falling
stuck between
trouble falling
brother died
This shit
publicity stunt
bad head
battery dies
legs ache
kinda suck
Head ache
funny noises
stabbing pain
update failed
Kinda disappointed
rocky horror
finally fell
miss London
error msg
Train delays
bad timess
loud noises
loud noises
sooooooo bored
itchy itchy
itchy itchy
paint fumes
trying hard
huge mistake
Splitting headache
stuck behind
ugly outside
super sore
completely screwed
Tummy aches
boring saturday
completely broke
poor hubby
hate public
soo upset
complete lack
totally lost
....so tired
hate doctors
seasonal allergies
How awful
devastating news
stinging nettles
stupid stupid
Sooo sad
huge bug
total failure
super jealous
funny movie
dead battery
computer problems
depressing movie
dark circles
lack thereof
hate colds
felt sick
low blow
Hangovers suck
102 fever
wrong reasons
apartment complex
poor feet
seperation anxiety
sounds bad
quite bored
extremely disappointed
rather bored
'd kill
kinda depressing
tooth pain
Titanic died
miss school
Another cloudy
soooo hard
Feeling bad
grudge against
Very depressing
tastes weird
complete shit
dead fish
hella mad
sooo nervous
miss everything
moan moan
Been sick
grandpa died
infections suck
infections suck
103 fever
moan moan
missed most
People suck
dead mouse
sucks dude
deep depression
lost against
pretty rubbish
crap outta
sick kid
small dent
serial killer
sooo lonely
bloody freezing
VERY sad
whoever stole
neck pain
lil upset
dirty clothes
bloody freezing
stomache ache
violently ill
lazy bum
monkey balls
septic tank
In dire
hate falling
lazy bum
bad reviews
hate throwing
major pain
kitchen sink
hurts sooooo
girlfriend broke
naughty girl
damn slow
bloody awful
've ruined
lose power
bloody awful
crap weather
stupid storm
killing meee
common cold
serious headache
sore knee
stupidly early
slightly worried
almost impossible
absolute agony
soo jealous
Sinus infection
vicious circle
allergy pill
rough morning
stupid brokeback
fucking hell
fuk fuk
hate us
tumble dryer
badly wants
poor woman
...im sorry
aw crap
horrible horrible
HUGE mistake
Feeling sorry
stupid job
stummy hurts
fail miserably
broken foot
itchy throat
shit together
horrible horrible
revision sucks
fail miserably
miss high
total crap
renal failure
muscle aches
battle scar
fuk fuk
worst pain
sick sick
worst pain
Easter break
hate shots
projectile vomit
most horrific
terrible nightmare
terrible nightmare
Headaches suck
Giants lost
Feel sorry
making noises
awful headache
sorry everyone
hate bugs
absolutely hate
It sucked
lost both
hard sometimes
headache Got
awful headache
goldfish died
flood warning
dull girl
nasty weather
poor quality
effing tired
loud noise
loud noise
Tooth ache
Aw poor
tank tops
untimely death
hate traffic
sorry boo
untimely death
sad moment
bull shit
bad influence
soo confused
abs hurt
ima cry
Oh fuck
404 error
lucky bastard
absolutely exhausted
BIG mistake
No, unfortunately
unpleasant surprise
fuckin hate
hell outta
mentally exhausted
lame ass
severely disappointed
horrible dreams
awful news
severe case
buzz kill
Being bored
causing problems
Feel sick
sucks Being
...very sad
horribly sick
passive agressive
Sinus infections
..i hate
lost 5
Ima miss
severe pain
massive bruise
severe pain
hate tuesdays
pig died
chitter chatter
pig died
white trash
ring fell
fucking sick
hurt himself
broken wrist
worst week
This stinks
sad 'cause
hate homework
broken finger
incredibly sick
creepy guy
utter crap
keeps dying
dying inside
eating junk
hurts SO
truth hurts
damn headache
've worn
zipper broke
fell alseep
feet ache
negative energy
stupid fucking
delayed flight
feet hurts
bad moods
miss vegas
emotional breakdown
nail broke
Cards lost
miss hanging
missed RIP
service sucks
shit ton
huge bump
poorly tummy
oil leak
wtf wtf
Motion sickness
crashes everytime
i miss
Very dissapointed
feets hurt
hate cleaning
lil sad
boys suck
monster headache
lil disappointed
Getting tired
falls apart
pig flu
Panic attacks
error code
room smells
serious problem
terrible cold
lost ALL
monster headache
terrible cold
Totally missed
gums hurt
shades darker
slowly losing
biggest problem
drag queen
wtf happened
gross gross
rather sad
money stolen
frost warning
trust issues
burglar alarm
completely exhausted
shooting pain
frost warning
stupid english
sooo exhausted
gross gross
tragic accident
smoke alarm
poor babies
nasty outside
smoke alarm
totally sucked
nasty sunburn
lost followers
sooo annoyed
freezing outside
hated Brokeback
poor doggie
keep breaking
absolute crap
miss NY
cat scratched
Sob sob
tongue hurts
terrible mood
terrible timing
lil sick
'mma miss
biggest mistake
degree burn
worried sick
stomach issues
miss Lauren
cruel mistress
cruel mistress
've broken
most frustrating
withdrawal syndrome
freak accident
hazard perception
razor burn
hate shopping
sour gummy
permanent scar
financial crisis
copyright infringement
worried sick
wtf wtf
guilt trip
poor fella
bad allergies
stop hating
frickin tired
sucky part
string broke
Soooo bored
neck ache
'd die
warped tour
Kobe puppet
stuffy noses
Kinda scared
Hairline fracture
dirty sexy
horribly wrong
totem pole
calves hurt
sad b/c
throbbing pain
ears bleed
awe poor
throbbing pain
hate nightmares
false advertising
broken ankle
Eddings died
Sun burnt
went dead
bathroom sink
bored sitting
sooooooo slow
rather depressing
kinda sad
beyond tired
sounds scary
runs slower
seriously wrong
burnt shoulders
bad start
totally confused
iPhone crashes
critical mass
glasses broke
Soooooo tired
abrupt end
bad decision
;i miss
keeps biting
techinical difficulties
They suck
dying slowly
elbow hurts
sore foot
card fraud
gettin worse
feels awful
hard part
damn girl
dying slowly
fuck wit
Really misses
mondays suck
sore leg
hate everything
lonely nights
lactose intolerance
terribly wrong
terribly wrong
economic downturn
hearing noises
bad sign
sooo disappointed
stupid boys
v sad
headphones broke
fail english
stomach hates
shit sucks
fish tanks
bad part
terribly sick
Too cold
wrong country
cat killed
terribly sick
stupid school
fever blister
fever blister
sad state
Biggest headache
w/a fever
server issues
'd cry
Freezing cold
cold sweats
Really struggling
REALLY miss
kinda hurt
silly mistakes
silly mistakes
Its sad
sick puppy
mom died
Holy fuck
hate writing
Throat infection
soooooo boring
things worse
feels funny
broken wing
phones dying
necklace broke
Can't shake
flu outbreak
feared dead
insomnia sucks
emergency surgery
broken hearts
sitting idle
frozen peas
Flights delayed
sorry folks
depression mode
tum hurts
delayed til
bad memories
hate taking
golf balls
look fat
aint funny
Failed miserably
god forsaken
swollen eyes
slowly coming
poor andy
worst days
stop worrying
slept wrong
stupid flu
Still upset
mine died
MAJOR headache
Very bad
gets stuck
hate wen
error page
How rude
ass headache
cum bck
sooooo sorry
noises outside
leg syndrome
phones broken
hip hurts
Being dragged
almost broke
quite depressed
Awww poor
sea sick
140 limit
soooooo cold
hate sunday
deaf ears
cry Watching
Trying desperately
gallbladder attack
biggest crush
pitching wedge
real pain
denied access
wrong button
It hurt
Bit disappointed
damn hard
officially died
piercing hurts
stupid science
nearly fell
damn expensive
computer broke
app crashes
killing meeee
bad stomachache
acting strange
Sooo bored
lose everything
miss U
severe thunderstorm
That poor
pale skin
wana cry
keep messing
hate monday
Dodgers lose
ga bs
Its freezing
silly mistake
silly mistake
hate revising
rejection letter
unrealistic expectations
slow computer
miss y
She hates
physically drained
whts wrong
ass hurts
evil evil
hurt soooo
've wasted
evil evil
wrong decision
bad fan
Body aches
keeps messing
sucky weather
miss tweeting
heart broke
sob sob
harsh reality
Am sad
character limits
until fall
Back hurts
Death toll
tricked us
guilt trips
killer sore
lives lost
insanely jealous
poor sod
totally miss
insanely jealous
hells kitchen
bad storm
evil eye
pretty grim
somethin wrong
loose women
white noise
killer sore
Lions lost
regret eating
tummy hates
officially broken
sucky sucky
flu symptoms
Phones dead
trivial pursuit
nuggets lost
ridiculously slow
thats depressing
Already misses
electrical failure
performance issues
ridiculously slow
rather boring
most disturbing
stupid homework
Feels weird
crummy weather
Cant fall
sucky sucky
power failure
tree fell
sleeping problems
mcmahon died
fell asleep...
Slightly disappointed
officially lost
damn lazy
douche nozzle
trouble viewing
imaginary friend
lost half
b bothered
connection sucks
literally falling
damn hungry
dont die
ugly shoes
hate making
slight exaggeration
Chest infection
chronic pain
flat broke
sour milk
eyeballs hurt
chronic pain
must confess
absolutely terrible
missed yall
gig depression
scorching hot
brain damaged
Thats sad
Fawcett dies
looks terrible
pretty intense
trapped inside
soooo mad
bad quality
eyed monster
plane crashed
super depressed
Mine broke
Very scary
family emergency
hate spending
presumed dead
Utterly disappointed
stealing o
panic mode
probably fail
achey breaky
Its weird
damn rain
swollen face
shit loads
Very annoyed
knuckles hurt
limited release
shit hole
bad karma
literally dripping
shit hole
heart break
damn allergies
sad mood
bothered doing
quite shocked
weep weep
fall asleeep
Gunna miss
wiggity wack
pretty crap
horrible cough
allergy shots
That hurts
poor fishy
Iran protests
scary thunder
Brain hurts
totally unprepared
computer crashes
Lunch break
quite upsetting
drive died
most expensive
hands smell
real sick
regret cutting
slow death
sick laying
hate losing
look terrible
boring old
painful experience
toffee twisted
weep weep
slow death
sinuses hurt
biggest fears
worst fears
worst fears
wrong number
That ruins
blood stains
sorry hunny
severe lack
mom hates
dead serious
major problems
realy bad
severe lack
Its horrible
motion sick
hard labor
poor old
Very unhappy
dearly missed
It stinks
temper tantrum
temper tantrum
hurt soo
fucking killing
highly upset
Canucks lost
most dangerous
poor jon
He hates
weird noise
weird noise
kidneys hurt
speed limit
hunger pains
smash hits
slave ship
small break
sooooo sore
hair smells
huge blister
Another gloomy
worst movie
boyle lost
Felt bad
Pretty sad
machine broke
bored nothing
Kinda upset
pretty depressing
broken arm
miss 'em
colds suck
wanna kill
crashed twice
funky mood
God forbid
dreary weather
network problems
liver failure
nearly dead
Animal cruelty
sorta sad
smoke alarms
miss thee
miss everybody
Wats wrong
kill himself
sore tooth
total waste
clicking noise
pilot dies
Jet lag
kill yourself
wrong w
sore muscles
sheer exhaustion
stop itching
Mission failed
shady grove
tastes horrible
killing us
torture chamber
basij dies
genuine threat
im scared
super disappointed
Magic lost
Everyone hates
totally shocked
braces hurt
grandmother died
ridiculously tired
hella expensive
missed rove
hate hearing
poor daddy
nose bleeds
horrible migraine
bloody weather
ridiculously tired
unbelievably tired
wanna fall
Soooooooo tired
strike gently
gross outside
smoke detector
Today sucked
but sadly
hardware failure
problems accessing
hate jetlag
father died
pleaded guilty
pure torture
Sounds painful
unbelievably tired
splittin headache
hate earthquakes
emergency clinic
lacking motivation
road kill
Theatre burning
tired and
soo annoying
freaking bored
probably cry
super upset
physical pain
poorly designed
hate missing
ugh i
swollen knee
sore arm
fake accounts
poor dear
Cancer sucks
freak hour
real sad
cold wet
tht sucks
major disappointment
freaking bored
lost touch
stupid reason
lakers lost
Tough break
poor lad
trash bin
total idiot
whine whine
completely ruined
Very hard
fussy baby
shifts suck
head explode
whine whine
minute break
headache Woke
damn car
most uncomfortable
gona fail
sore gums
fallen apart
sickness bug
'ma miss
sickness bug
personal attacks
messy room
ankles hurt
miss Alex
sooo scared
awfully quiet
seriously suck
mega tired
stupid mistake
ridiculous amounts
worried abt
tension headache
da hell
morbidly obese
morbidly obese
whats worse
bloody annoying
dead zone
keeps stealing
oddly shaped
Fire alarm
Already miss
miss youuuuuuu
breathing problems
tension headache
shaky hands
bloody annoying
scary noises
suck balls
trouble keeping
sour plum
damn early
completely failed
animal cruelty
feelings hurt
watering hole
worst weekend
suck balls
insanely busy
god damned
severe thunderstorms
His poor
poor Susan
damn cough
Exams suck
lose their
SOOO bad
stuck outside
III sucked
bad timesss
lost forever
Awwwww poor
smoke break
wanna smoke
retinal atrophy
manque tout
Some idiot
teeth hurts
migraine headache
fake nails
kill screen
smash bros
stomach cramp
internet sucks
terrible weather
Sharks lost
retartded retards
that sucks
dumb asses
sad RIP
Im allergic
lips hurt
nearly died
foreign object
constantly crashing
Too dark
blubbering mess
flu virus
acting funky
went crazy
slowly melting
soo mad
intrusive thoughts
Theatre burned
fucking stupid
Effing awful
Evil evil
stupid stomach
tech difficulties
Failing miserably
School sucks
SO boring
Extremely tired
bones hurt
How unfortunate
mission failed
main issue
bleeding profusely
hip injury
poor nick
wisdom teeth
oh well
at work
gets better
not good
wisdom tooth
not happy
doesnt work
gotta work
feels better
o well
feel better
hot water
hot outside
didnt win
not cool
ah well
super tired
wont work
not fair
enough money
didnt work
work early
not fun
not liking
super duper
happy camper
happy bunny
work til
holy crap
hot weather
who won
super bored
fast food
super bummed
ah well
super sick
tech support
holy shit
uni work
humane society
least favorite
super early
Titanic survivor
gaining weight
not enough
super busy
gain weight
start work
bode well
not ready
gotta clean
pretty crappy
gusto ko
speedy recovery
enough sleep
music awards
work 2morrow
lap top
sooo hot
Not impressed
Gotta work
ohh well
pretty bummed
gained weight
depressed right
nothing exciting
super slow
nobody loves
nothing interesting
boiling hot
nothing good
longer works
limit exceeded
well enough
anything right
Can't afford
cannot afford
super hungry
work 2day
pretty boring
nothing works
silent treatment
worst luck
super sleepy
Bad luck
cmt awards
work tomorrow
NOT happy
pretty upset
quick enough
super pissed
warm outside
bright red
brighter note
pain right
honor society
incredibly bored
survivor died
couldnt afford
pretty badly
isnt helping
Not nice
NOT fun
Not enjoying
dont love
nearly enough
Not excited
win tickets
Oh great
not good
work late
work 2moro
solid foods
Stupid work
right foot
finished work
tested positive
work wishing
data recovery
sharp pain
super long
dreading work
protection program
mighty mouse
Its hot
no fun
love affair
sharp pains
hot flashes
yourself lucky
less fun
Not loving
awake right
crying right
clean house
peace farrah
sugar free
ridiculously hot
mix well
proper gutted
blood work
Nobody loves
whoa whoa
passion pit
super lame
holy cow
whoa whoa
work tomoz
not cool
lucky bitch
